number_source,type_source,accountId_source,accountType_source,number_target,type_target,accountId_target,accountType_target,transactionPurpose,channel,Comentario
{{numeroDocumento}},NIT,20753221513,CAHO,{{numeroDocumento}},CC,2075140125,CCTE,TRANSFERENCIAS,APP,Enviar tipo cuenta CAHO a CCTE
{{numeroDocumento}},NIT,20753221513,CAHO,{{numeroDocumento}},CC,2075140125,DBMO,TRANSFERENCIAS,APP,Enviar tipo cuenta CAHO a DBMO
{{numeroDocumento}},NIT,20753221513,CAHO,{{numeroDocumento}},CC,2075140125,DORD,TRANSFERENCIAS,APP,Enviar tipo cuenta CAHO a DORD
{{numeroDocumento}},NIT,20753221513,CAHO,{{numeroDocumento}},CC,2075140125,DBMI,TRANSFERENCIAS,APP,Enviar tipo cuenta CAHO a DBMI
{{numeroDocumento}},NIT,20753221513,CCTE,{{numeroDocumento}},CC,2075140125,CAHO,TRANSFERENCIAS,APP,Enviar tipo cuenta CCTE a CAHO
{{numeroDocumento}},NIT,20753221513,CCTE,{{numeroDocumento}},CC,2075140125,DBMO,TRANSFERENCIAS,APP,Enviar tipo cuenta CCTE a DBMO
{{numeroDocumento}},NIT,20753221513,CCTE,{{numeroDocumento}},CC,2075140125,DORD,TRANSFERENCIAS,APP,Enviar tipo cuenta CCTE a DORD
{{numeroDocumento}},NIT,20753221513,CCTE,{{numeroDocumento}},CC,2075140125,DBMI,TRANSFERENCIAS,APP,Enviar tipo cuenta CCTE a DBMI
{{numeroDocumento}},NIT,20753221513,DBMO,{{numeroDocumento}},CC,2075140125,CAHO,TRANSFERENCIAS,APP,Enviar tipo cuenta DBMO a CAHO
{{numeroDocumento}},NIT,20753221513,DBMO,{{numeroDocumento}},CC,2075140125,CCTE,TRANSFERENCIAS,APP,Enviar tipo cuenta DBMO a CCTE
{{numeroDocumento}},NIT,20753221513,DBMO,{{numeroDocumento}},CC,2075140125,DORD,TRANSFERENCIAS,APP,Enviar tipo cuenta DBMO a DORD
{{numeroDocumento}},NIT,20753221513,DBMO,{{numeroDocumento}},CC,2075140125,DBMI,TRANSFERENCIAS,APP,Enviar tipo cuenta DBMO a DBMI
{{numeroDocumento}},NIT,20753221513,DORD,{{numeroDocumento}},CC,2075140125,CAHO,TRANSFERENCIAS,APP,Enviar tipo cuenta DORD a CAHO
{{numeroDocumento}},NIT,20753221513,DORD,{{numeroDocumento}},CC,2075140125,CCTE,TRANSFERENCIAS,APP,Enviar tipo cuenta DORD a CCTE
{{numeroDocumento}},NIT,20753221513,DORD,{{numeroDocumento}},CC,2075140125,DBMO,TRANSFERENCIAS,APP,Enviar tipo cuenta DORD a DBMO
{{numeroDocumento}},NIT,20753221513,DORD,{{numeroDocumento}},CC,2075140125,DBMI,TRANSFERENCIAS,APP,Enviar tipo cuenta DORD a DBMI
{{numeroDocumento}},NIT,20753221513,DBMI,{{numeroDocumento}},CC,2075140125,CAHO,TRANSFERENCIAS,APP,Enviar tipo cuenta DBMI a CAHO
{{numeroDocumento}},NIT,20753221513,DBMI,{{numeroDocumento}},CC,2075140125,CCTE,TRANSFERENCIAS,APP,Enviar tipo cuenta DBMI a CCTE
{{numeroDocumento}},NIT,20753221513,DBMI,{{numeroDocumento}},CC,2075140125,DBMO,TRANSFERENCIAS,APP,Enviar tipo cuenta DBMI a DBMO
{{numeroDocumento}},NIT,20753221513,DBMI,{{numeroDocumento}},CC,2075140125,DORD,TRANSFERENCIAS,APP,Enviar tipo cuenta DBMI a DORD
{{numeroDocumento}},CC,2075140125,CAHO,{{numeroDocumento}},NUIP,20753228543,CCTE,TRANSFERENCIAS,APP,Validar la generación de intents B2P - Happy path (CC->NUIP)
{{numeroDocumento}},CC,2075140125,CAHO,{{numeroDocumento}},PPT,20753228543,CCTE,TRANSFERENCIAS,APP,Validar la generación de intents B2P - Happy path (CC->PPT)
{{numeroDocumento}},CC,2075140125,CAHO,{{numeroDocumento}},NIT,20753228543,CCTE,TRANSFERENCIAS,APP,Validar la generación de intents B2P - Happy path (CC->NIT)
{{numeroDocumento}},CC,2075140125,CAHO,{{numeroDocumento}},PEP,20753228543,CCTE,TRANSFERENCIAS,APP,Validar la generación de intents B2P - Happy path (CC->PEP)
{{numeroDocumento}},CC,2075140125,CAHO,{{numeroDocumento}},PAS,20753228543,CCTE,TRANSFERENCIAS,APP,Validar la generación de intents B2P - Happy path (CC->PAS)
{{numeroDocumento}},CC,2075140125,CAHO,{{numeroDocumento}},TDI,20753228543,CCTE,TRANSFERENCIAS,APP,Validar la generación de intents B2P - Happy path (CC->TDI)
{{numeroDocumento}},CC,2075140125,CAHO,{{numeroDocumento}},CC,20753228543,CCTE,TRANSFERENCIAS,APP,Validar la generación de intents B2P - Happy path (CE->CC)
